Relationship_Name,Entity_1,Cardinality_1,Entity_2,Cardinality_2,Type,Description,Normal_Form
User_Owns_Student,USER,1,STUDENT,1,Identifying,User account owns Student profile (ISA),BCNF
User_Owns_Faculty,USER,1,FACULTY,1,Identifying,User account owns Faculty profile (ISA),BCNF
User_Owns_Admin,USER,1,ADMIN,1,Identifying,User account owns Admin profile (ISA),BCNF
Department_Employs_Faculty,DEPARTMENT,1,FACULTY,M,Strong,Department employs multiple faculty,3NF
Department_Employs_Admin,DEPARTMENT,1,ADMIN,M,Strong,Department employs multiple admins,3NF
Student_Enrolls,STUDENT,1,ENROLLMENT,M,Weak,Student enrolls in multiple courses,2NF
Course_Offered,COURSE,1,ENROLLMENT,M,Weak,Course has multiple enrollments,2NF
Year_Tracked,ACADEMIC_YEAR,1,ENROLLMENT,M,Weak,Enrollment tracked per academic year,2NF
Course_Contains_Topic,COURSE,1,TOPIC,M,Weak,Course contains multiple topics,1NF
Faculty_Teaches,FACULTY,1,COURSE,M,Strong,Faculty teaches multiple courses,BCNF
Course_Contains_Assessment,COURSE,1,ASSESSMENT,M,Weak,Course contains multiple assessments,BCNF
Assessment_ISA_Exam,ASSESSMENT,1,EXAM,1,Specialization,Assessment can be an Exam,BCNF
Assessment_ISA_Quiz,ASSESSMENT,1,QUIZ,1,Specialization,Assessment can be a Quiz,BCNF
Assessment_ISA_Assign,ASSESSMENT,1,ASSIGNMENT,1,Specialization,Assessment can be an Assignment,BCNF
Course_Defines_Outcome,COURSE,1,LEARNING_OUTCOME,M,Strong,Course defines learning outcomes,3NF
Assessment_Maps_Outcome,ASSESSMENT,1,ASSESSMENT_OUTCOME,M,Weak,Assessment maps to outcomes,3NF
Outcome_Evaluated_In,LEARNING_OUTCOME,1,ASSESSMENT_OUTCOME,M,Weak,Outcome evaluated in assessments,3NF
Enrollment_Achieves,ENROLLMENT,1,MARKS_ENTRY,M,Weak,Enrollment generates mark entries,3NF
Assessment_Evaluates,ASSESSMENT,1,MARKS_ENTRY,M,Weak,Assessment evaluates students,3NF
Enrollment_Masters_Outcome,ENROLLMENT,1,STUDENT_OUTCOME,M,Weak,Enrollment tracks outcome mastery,3NF
Outcome_Measured_In,LEARNING_OUTCOME,1,STUDENT_OUTCOME,M,Weak,Outcome measured in student progress,3NF
Enrollment_Attends,ENROLLMENT,1,ATTENDANCE_LOG,M,Weak,Enrollment generates attendance logs,3NF
Student_Applies_Leave,STUDENT,1,LEAVE_REQUEST,M,Weak,Student applies for leaves,3NF
Faculty_Approves_Leave,FACULTY,1,LEAVE_REQUEST,M,Strong,Faculty approves leave requests,3NF
Student_Undertakes,STUDENT,1,RESEARCH_PROJECT,M,Strong,Student undertakes research projects,BCNF
Faculty_Guides,FACULTY,1,RESEARCH_PROJECT,M,Strong,Faculty guides research projects,BCNF
Project_Has_Milestone,RESEARCH_PROJECT,1,RESEARCH_MILESTONE,M,Weak,Project has milestones,BCNF
Faculty_Offers_Slot,FACULTY,1,MEETING_SLOT,M,Weak,Faculty offers meeting slots,3NF
Student_Books_Slot,STUDENT,1,MEETING_SLOT,M,Weak,Student books meeting slots,3NF
Resource_Hosts,RESOURCE,1,EVENT,M,Weak,Resource hosts events,BCNF
Admin_Schedules,ADMIN,1,EVENT,M,Strong,Admin schedules events,BCNF
Student_Makes_Payment,STUDENT,1,FEE_PAYMENT,M,Weak,Student makes payments,3NF
Fee_Defines_Payment,FEE_STRUCTURE,1,FEE_PAYMENT,M,Weak,Fee structure defines payments,3NF
User_Posts,USER,1,FORUM_POST,M,Weak,User posts in forum,3NF
Course_Contextualizes,COURSE,1,FORUM_POST,M,Weak,Forum posts tagged to courses,3NF
Topic_Tags_Post,TOPIC,1,FORUM_POST,M,Weak,Forum posts tagged to topics,3NF
Post_Has_Tags,FORUM_POST,1,POST_TAG,M,Weak,Post has multiple tags,1NF
