Relationship_Name,Entity_1,Cardinality_1,Entity_2,Cardinality_2,Type,Description
User_Owns_Student,USER,1,STUDENT,1,Identifying,User account owns Student profile (ISA)
User_Owns_Faculty,USER,1,FACULTY,1,Identifying,User account owns Faculty profile (ISA)
User_Owns_Admin,USER,1,ADMIN,1,Identifying,User account owns Admin profile (ISA)
Student_Enrolls,STUDENT,1,ENROLLMENT,M,Weak,Student enrolls in multiple courses
Course_Offered,COURSE,1,ENROLLMENT,M,Weak,Course has multiple enrollments
Year_Tracked,ACADEMIC_YEAR,1,ENROLLMENT,M,Weak,Enrollment is tracked per academic year
Faculty_Teaches,FACULTY,1,COURSE,M,Strong,Faculty teaches multiple courses (Team Input #1)
Course_Contains,COURSE,1,ASSESSMENT,M,Weak,Course contains multiple assessments (Team Input #2)
Assessment_ISA_Exam,ASSESSMENT,1,EXAM,1,Specialization,Assessment can be an Exam
Assessment_ISA_Quiz,ASSESSMENT,1,QUIZ,1,Specialization,Assessment can be a Quiz
Assessment_ISA_Assign,ASSESSMENT,1,ASSIGNMENT,1,Specialization,Assessment can be an Assignment
Enrollment_Achieves,ENROLLMENT,1,MARKS_ENTRY,M,Weak,Enrollment generates multiple mark entries
Assessment_Evaluates,ASSESSMENT,1,MARKS_ENTRY,M,Weak,Assessment evaluates multiple students
Enrollment_Attends,ENROLLMENT,1,ATTENDANCE_LOG,M,Weak,Enrollment generates daily attendance logs
Student_Applies_Leave,STUDENT,1,LEAVE_REQUEST,M,Weak,Student applies for multiple leaves
Student_Undertakes,STUDENT,1,RESEARCH_PROJECT,M,Strong,Student undertakes research projects (Team Input #3)
Faculty_Guides,FACULTY,1,RESEARCH_PROJECT,M,Strong,Faculty guides research projects (Team Input #3)
Project_Has_Milestone,RESEARCH_PROJECT,1,RESEARCH_MILESTONE,M,Weak,Project has multiple milestones
Student_Makes_Payment,STUDENT,1,FEE_PAYMENT,M,Weak,Student makes multiple payments
Fee_Defines_Payment,FEE_STRUCTURE,1,FEE_PAYMENT,M,Weak,Fee structure defines payment records
User_Posts,USER,1,FORUM_POST,M,Weak,User posts in forum
Course_Contextualizes,COURSE,1,FORUM_POST,M,Weak,Forum posts are tagged to courses
Resource_Hosts,RESOURCE,1,EVENT,M,Weak,Resource hosts multiple events (Team Input #5)
Admin_Schedules,ADMIN,1,EVENT,M,Strong,Admin schedules events (Team Input #4)
Faculty_Offers_Slot,FACULTY,1,MEETING_SLOT,M,Weak,Faculty offers multiple meeting slots (Team Input #7)
Student_Books_Slot,STUDENT,1,MEETING_SLOT,M,Weak,Student books meeting slots (Optional)
